,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2019-08-01,272849.07933242334,533768.7460928113,241703.46987862434,344548.72249164974,347502.8155864346,210345.18271656238,170705.0490953032,423054.5237593467,268846.7063460631,397410.2685027693,391086.8730002919,192929.91186640607,571703.2849774995,301365.65966132196,616163.6384452982,283408.9735438853,338188.0107814809,201530.14316939496,273978.05220038,253543.42179018923,180931.134693547,316711.18025898887,188784.31351654083,189933.40256307958,204035.73603463278,262601.5201161549,199465.6014387683,358488.7728439372,196268.48075201095,294419.5519995151,307570.18911519373,237286.97406882967,158284.01268744783,206241.2588631832,146978.7810218552,139718.57994626023,157951.02689135575,118851.19352042807,275678.0181096468,221211.64276861682,256552.65279009216,140612.21628701306,165510.01441955997,150734.46179904076,272136.9441531256,254198.91592743355,137246.3959383542,209429.02369110644,178266.30262452344,160974.21477744254,152633.041104681
2019-09-01,273561.38308239356,536356.5770019594,242412.80211256244,345198.63323497964,347722.95321766945,211004.5379998735,170735.37053560987,422979.49254632095,270263.58080537355,398639.9558084046,391907.64949152526,192666.3531570911,571978.0781983596,301674.8767593107,615968.004874596,284504.06752637186,339657.13987582416,202270.00121297318,275269.2943865687,253816.55639797065,181074.44308968217,317167.48279809306,189446.05097462572,190492.63211635765,204806.36452104198,263381.00056838174,200491.43683384752,359003.7634980521,196833.83092340955,295021.90861950564,308640.10342356854,238356.06512823948,158884.18616778453,206914.36171405847,147010.3947590948,139689.85795493572,158605.1864181146,118710.77069931194,277777.9595716539,221473.66673852343,256626.73287973067,140951.47440480464,165643.2982722222,151231.5439305822,271947.0255083965,255424.4939909395,137530.45839617733,209958.18845904424,178896.09729662535,161246.48580851185,153038.5412218105
2019-10-01,274495.09205817943,539407.0740456479,243352.79386940436,345931.43934875,348360.5926101908,211887.21043091684,171216.84396289257,423597.4708541196,271947.2077288236,400471.17546818894,393138.6989183911,192737.2229337086,572498.6821924004,301957.2423668182,615830.9692293275,285548.1822118386,341535.60668429016,203218.13735766723,276459.53615060146,254366.58367971316,181205.24222331122,317673.43918757595,190279.91010674252,191215.41312716654,205832.36023065602,264346.0438511359,201700.59654647767,359934.8385659954,197537.46442915584,295885.9477362226,309778.9597924457,239637.9830913091,159660.62803827587,207686.22243316894,147269.52124587016,139888.30096454112,159343.75279994923,118717.06123977074,280240.3686431965,221896.34674992273,256859.3647491172,141532.7521848974,166129.58984867204,151958.02097702117,271740.73562753666,256756.64350771485,138043.26843070154,210893.15307365396,179745.6196026369,161960.27296492647,153592.85012023288
2019-11-01,275734.48760007747,542728.4508154135,244638.48476941756,347394.96273183497,349621.7353887595,212932.32857570183,172044.51598082006,425013.9444937152,273914.01771807304,402938.3603121417,394841.88904542103,193062.86414611185,573639.2920589461,302447.5413290174,616862.7513850472,286873.1909424123,343925.9404312412,204382.68571225426,277688.2179158979,255349.31771611844,181716.59161528214,318545.2916745227,191341.3655037398,192205.63966385243,207132.24916068104,265722.99335689767,203150.24026099298,361511.3919590718,198606.95913275532,297425.3837230555,311279.0929666442,241087.08317372296,160718.99236699005,208637.3095873091,147713.5630789468,140217.00090453727,160263.50613871537,118867.52297013812,283021.73513870226,222559.9565417407,257385.58510163074,142335.15911203934,166890.1107927281,152896.72915824957,271904.9323577778,258146.20736813798,138929.2346471958,212048.6663767118,180723.12112038455,162766.75673489695,154414.95936385196
2019-12-01,277256.8044974963,546170.6719321989,246222.99235526647,349256.43338617333,351281.9637769621,214070.32029448423,172892.76048800827,426662.77040804364,275969.7371500903,406072.9715527736,396863.71706630423,193764.89231619416,575130.8158077108,303261.72589174024,618446.041573011,288304.91807377455,346751.2955080415,205818.2425430288,279103.047138108,256685.7079723964,182716.15216584303,319749.940166127,192492.5262577202,193383.3356791118,208563.73038719935,267419.89880278584,204721.86821715915,363629.6637455478,200033.38266528305,299106.0025461393,312749.98458915116,242535.85964260637,162078.9148522286,209722.59365019898,148425.21735535216,140758.8861636907,161331.94251031525,119109.38367168758,286155.7270685903,223400.60976406583,258238.4349407245,143283.79660578995,167888.62273366234,153965.03099878583,272688.15544101415,259908.87287994914,140194.07584227182,213370.53639596837,181791.6657892857,163575.2063000958,155318.2994072226
2020-01-01,278908.2893761586,548982.1260582964,248142.68702797056,351551.0571640061,353406.14304168103,215225.65934298237,173824.11755868935,428778.07010639453,278456.0502563953,409533.51720177266,399131.3236293821,194753.976536357,577735.4939798721,304801.02428018703,620806.1859384332,289945.5707298387,349733.7040579217,207374.30304645235,280981.16708848247,258284.07058080577,184121.02559284805,321278.08056576725,193629.11921158223,194641.90920756772,209899.67286526322,268914.08114785573,206476.06960799705,366431.2897904981,201517.54140539162,301472.51059545664,314003.6264248558,244068.20103266454,163344.4979517636,210896.52991424114,148877.15508315127,140918.29388401596,162522.12566092922,119170.7588177109,289366.53964279057,223744.81237347084,259389.7894230055,144255.5021609715,168887.11677245947,154984.09340102997,273866.7602174331,261155.98770541136,141676.37044467387,214364.91679464036,182784.5437156891,163879.48924355838,156328.35134643767
2020-02-01,280507.1274870872,551243.1014533754,249951.2915885148,353300.4154822466,355448.4949347692,216343.38148724684,175011.68001431212,431176.71786091913,281175.7722277181,413322.11066165176,401657.4436341816,195906.29709343883,581313.0638734171,306508.79995664785,623277.6000495021,291643.43950984936,352920.9429929615,208924.60986849535,283135.63291084976,260062.2285976934,185409.07982596938,322992.90988584596,194820.34780993676,195683.09140747882,211204.75973863472,270074.7997371303,208069.6826668315,369281.98438862985,202709.04337666463,303907.23648255505,314802.4102429583,245692.2447429267,164399.8434355513,212008.47606721186,149440.7143161675,141207.3960208439,163698.32824649932,119650.18221785485,292734.9704761047,223975.91663141162,260623.52741949307,145081.75805856267,169989.3094297434,156116.69091562706,275211.37431488093,262116.16864574372,142931.98372245455,215209.30663591935,183735.33344183184,164179.38849296575,157353.2027566968
2020-03-01,281999.78603087284,553421.4450482788,251540.29288793888,354910.53544432746,358013.0172299066,217433.4547275789,176457.1824604371,434177.5445556178,284261.78637285763,417557.19865650864,404564.94411874627,197033.239228375,586089.3430540242,308406.61247528065,625676.7767091965,293764.5797331265,356298.3368646107,210393.9027617917,285906.9833205632,262006.99120722094,186394.43305422785,324788.74976822647,196098.6983541951,196785.79715295686,212662.57023661374,271050.35977442394,209617.45394399494,372279.5876090734,203924.71469373276,306618.29197157425,315252.7446945083,247873.16566044418,165482.14838319362,213267.86808090296,150229.43013206616,141884.84736411241,164976.56703102088,120485.45771318521,296426.2460968135,224236.28332392426,262335.07405693736,145966.72315382908,171225.39117836885,157422.22458252838,276641.86677422,263018.4900755469,143836.98049010607,216228.15517650358,184683.6799953069,164531.39943315563,158463.83297596537
2020-04-01,283251.33349889395,555432.9075861332,252506.81623370806,356247.8919375684,360492.65855521866,218219.29083531574,177817.03655890157,436797.2593960623,287052.609093292,421779.07675261516,407332.30233388447,197845.9733173519,590794.2618567953,309738.3930468447,627574.4268267499,295798.29787748493,359465.667453154,211558.59832640606,288441.4278721874,263744.4016035658,187179.98790098188,326387.79289523856,197500.51848500688,197796.79548267752,214065.93202530136,272061.1157743812,210922.18195563962,374615.16122701834,205184.23547505555,308914.89117447025,315309.9853662742,250135.2458425844,166608.06316071557,214572.62145964327,151368.6370439366,142823.00425976457,166206.16531146746,121568.5277253909,300100.4682171759,224923.99337089423,263988.0310267433,146733.2476140144,172338.98552982186,158692.15571201794,277726.3153966603,264302.72283435194,144325.2774247556,217447.59120614067,185597.47289502845,165088.37020186844,159471.2057652286
2020-05-01,283917.46268637414,555686.9549927231,252773.3670987142,357411.42598108016,362329.89113661484,218499.89113489352,178477.88066629894,438365.12277653517,288991.1959177607,424461.4475609064,408652.84616867424,197951.25675304767,593481.9047101332,310081.31329904316,627847.4315137967,297438.3651056186,361359.67038128077,212128.65734930328,290014.61047507136,264644.10216524283,187436.94190409846,327080.54626141145,198350.90915777275,198669.2358940818,214993.58075937975,272935.4550186792,211849.18742185357,375639.7735295666,206331.2995121842,309933.1446963165,314517.74591389013,252046.06767429225,167560.6588714998,215621.83771659379,152318.00894059846,143569.8735079168,167096.68363423776,122317.54203661485,303040.6505723097,225380.41150079653,264914.4175553841,147479.78365530146,173079.86221279285,159421.8856520581,277878.98202466615,265437.0169347366,144463.5742687173,218526.83193979927,186268.67488047984,165659.33661464823,160115.97492278274
